global_id,id,rule,country/source,cultural_cluster,scope,safety_level,norm_type,affected_group
1,1,One must serve beef dishes during holidays or gatherings with friends and family.,Argentina,Latin America,Specific,Low,Custom,General
2,2,It is customary to eat beef with every meal.,Argentina,Latin America,Specific,Low,Custom,General
3,3,It is customary to drink mate tea in social gatherings.,Argentina,Latin America,Specific,Low,Custom,General
4,4,One must not overcook beef when preparing asado.,Argentina,Latin America,Specific,Low,Custom,General
5,5,It is customary to perform or listen to tango music and dance at family parties and gatherings.,Argentina,Latin America,Specific,Low,Custom,General
6,6,It is customary to enjoy tango performances in various venues in Buenos Aires.,Argentina,Latin America,Specific,Low,Custom,General
7,7,It is customary to use specific utensils for drinking mate tea.,Argentina,Latin America,Specific,Low,Custom,General
8,8,It is customary to appreciate the unique preparation and presentation of asado.,Argentina,Latin America,Specific,Low,Custom,General
9,9,It is customary to recognize and celebrate Tango Day on December 11th.,Argentina,Latin America,Specific,Low,Custom,General
10,10,"In regions with strong indigenous influences, such as the northwest, offerings to Pachamama (Mother Earth) are made in August to ensure a bountiful harvest and good fortune. This ritual involves burying food, coca leaves, and alcohol as offerings, reflecting the syncretism between indigenous and Christian beliefs in Argentina.",Argentina,Latin America,Specific,Low,Religious,General
11,11,"In this wine-producing region, the ritual to Pachamama sometimes includes the offering of the first fruits of the grape harvest. This is a blend of the traditional Pachamama offering with the region's strong viticulture, symbolizing gratitude for the fertility of the land that supports vineyards.",Argentina,Latin America,Specific,Low,Religious,General
12,12,Overlooking the importance of integrating indigenous perspectives and the focus on social justice in political discussions in Northwest Argentina.,Argentina,Latin America,Specific,Moderate,Social_Norm,General
13,13,"Prioritizing urban development and technology investments over agricultural policies and regional autonomy in a conversation, which disregards the local concerns of rural communities and the wine industry significant in Mendoza.",Argentina,Latin America,Specific,Moderate,Custom,General
14,14,"In this southern region, discussions might often veer towards environmental issues, indigenous rights, and land disputes. The history and current situation of the Mapuche people can be a sensitive topic, requiring respectful and informed conversation.",Argentina,Latin America,Specific,Moderate,Custom,General
15,15,"The introduction of a fire-breathing performance, which focuses on individual spectacle, unintentionally disregards the communal and spiritual essence of the ""Ara Pyau"" celebration, emphasizing spiritual renewal and community bonds rather than personal entertainment.",Argentina,Latin America,Specific,Low,Custom,General
16,16,Using pages from revered literary works for mundane tasks is seen as disrespectful to the cultural value placed on literature and authors in Argentina.,Argentina,Latin America,Specific,Low,Custom,General
17,17,"In this central region, there's a strong tradition of Catholic practices integrated into mourning rituals. The community support is very much present, with novenas (nine days of prayer) being a common practice to honor the deceased. This period allows for extended communal support and reflection.",Argentina,Latin America,Specific,Moderate,Religious,General
18,18,Publishing content that could be perceived as critical or overly scrutinizing of José de San Martín around the time of the national holiday dedicated to honoring his memory could be seen as disrespectful by Argentinians who hold his legacy in high esteem.,Argentina,Latin America,Specific,Low,Custom,General
19,20,"It's customary in Argentina to greet friends and acquaintances with a single kiss on the cheek, regardless of gender. This warm and personal greeting reflects the importance of close personal relationships and is a key part of social etiquette.",Argentina,Latin America,Specific,Moderate,Etiquette,General
20,21,"In Argentina, soccer (fútbol) is more than just a game; it's a passion that divides families and friends into rival factions based on their support for different teams. Match days transform cities, and it's common for conversations to revolve around soccer, with intense emotions on display.",Argentina,Latin America,Specific,Low,Social_Norm,General
21,24,"Special provisions are in place to protect the rights of Indigenous communities in Argentina, including laws that recognize the importance of land rights and cultural preservation, aiming to address historical injustices and discrimination.",Argentina,Latin America,Specific,Moderate,Legal,Ethnic_Group
22,27,"Arriving at an Argentine home without bringing a modest gift like chocolates, sweets or wine may be viewed as undervaluing the host’s hospitality.",Argentina,Latin America,Specific,Low,Custom,General
23,28,"In Argentina, greeting with only a handshake instead of a cheek kiss (or abrazo) among friends may signal distance or formality rather than warmth.",Argentina,Latin America,Specific,Low,Etiquette,General
24,29,Extending your knife and fork together after finishing a meal at an Argentine asado is a sign of appreciation; failing to do so may be seen as lacking courtesy.,Argentina,Latin America,Specific,Low,Custom,General
25,30,"Using the “thumbs-up” gesture indiscriminately in Argentina may, in some contexts, be misinterpreted as overly informal or impolite.",Argentina,Latin America,Specific,Low,Etiquette,General
26,31,Arriving over 30–45 minutes early to a social visit in Argentina may be viewed as intrusive; guests typically arrive somewhat later than the stated time.,Argentina,Latin America,Specific,Low,Etiquette,General
27,32,Avoid giving sharp objects (knives or scissors) as gifts in Argentina because they can symbolically sever relationships; doing so may inadvertently offend.,Argentina,Latin America,Specific,Low,Custom,General
28,1,It is customary to speak casually across social and workplace hierarchies and to address even supervisors without formal honorifics.,Australia,Western Europe,Specific,Significant,Custom,General
